

0 1 9541 3
1 1 5172,7507 1,3
2 0 528,1098,1247,1857,1881,3045,4427,4627,4756,5048,5373,6037,6081,6317,7960,8155,8572,8789,9088 8,0,10,9,6,1,0,6,10,5,6,4,9,9,7,4,10,3,8
3 0 45,114,188,272,345,1107,1277,2425,3056,6392,6738,7252,7550,7663,8701,9131 8,9,8,10,4,6,0,0,3,0,2,6,10,8,0,5
4 0 559,851,1396,1532,2219,2562,2806,2889,3127,6121,6650,6678,7378,7948,8472,9153,9434,9514,9570 6,0,9,9,3,3,10,7,4,7,7,6,0,6,7,9,7,2,8
5 1 1172,1470,1764,2565,3496,6068,9435 0,10,10,5,5,6,5
6 0 1059,2761,4671,4998,5738,5976,6651,7371,8980 3,7,5,2,5,5,0,2,4
7 1 4176,5710 7,2
8 1 2694,4464,5378 10,1,0
9 1 5801,5930,7596,7660,7980,8172,8385,8768,8846,9602,9969 4,5,9,7,6,2,6,8,5,10,5
10 1 1236,1398,2085,2370,4226,4266,4721,5235,6461,8522,8759,9504 7,8,5,7,10,7,6,7,4,5,1,5
11 0 57,9391 3,5
12 1 1411,3136 10,10
13 1 122,2029,3023,5311,6163,6196,6939 0,2,8,7,5,2,7
14 0 3149,3761,3977,4659,7521,7553,8614,9339,9574,9645 0,2,3,8,9,4,4,2,6,8
15 0 1348,2123,3060,7429 2,8,3,10
16 1 1016,1149,2510,2519,2604,3129,3179,3673,3771,3853,4371,4580,5244,6640,7570,7955,8744,8805 10,4,10,1,1,2,5,6,7,0,0,3,6,7,3,7,5,5
17 0 1114,1729,4240,6644,8067,8150 8,6,0,1,9,5
18 1 400,941,1827,4187,4716,6427,8448,9688 9,1,2,0,3,8,1,7
19 1 1933,2099,2347,4304,8634,9026,9397,9701 8,0,10,1,7,0,6,10
20 0 757,2469,2971,3136,3621,3658,3707,4333,7360,7807,7958,7962,8320,8950,9769,9805,9892 2,3,10,10,8,7,3,9,5,8,5,10,1,8,5,10,3
21 0 349,957,2086,3320,3523,6337,8978 10,9,6,0,6,1,5
22 1 2001,5815,9178 10,5,7
23 0 4522,9958 4,5
24 0 1381,2209,4021,6237,6463,6729,8198,9908 0,3,7,8,3,5,1,4
25 0 199,949,1721,2271,3157,4649,5753,5889,6663,6874,7029,7401,8201,8687,9474,9593 6,8,10,1,7,8,1,3,1,10,1,5,4,2,9,7
26 1 118,671,1684,1934,3200,3255,4856,5689,6478,7243,8007,8378,8494,9208,9622 1,5,1,6,7,6,7,7,6,9,8,8,9,6,7
27 0 382,1789,2481,3242,3795,3980,4980,5319,5523,5700,5782,5788,5881,5983,7009,7726,7917,8371 0,5,0,4,5,6,10,6,6,5,4,3,0,6,10,7,8,7
28 0 1215,4891,7830,7987 6,5,7,1
29 0 539,877,2198,3722,7384,7775,8515,9213,9280,9283,9417,9731 3,7,5,9,1,2,4,4,6,2,10,5
30 1 1708,2088,3739,7388,9364 6,4,2,2,9
31 1 8318,9703 7,6
32 1 2459,2990,3265,3663,4141,4930,5446,5808,6630,7489,8083,8359,9442,9573,9988 7,10,6,1,0,8,3,10,10,3,10,7,0,4,9
33 1 4537,6213,6240,7167,8132,8141 4,4,10,1,7,1
34 0 1675,2276,2371,4259,8453,9522 0,5,0,1,10,4
35 1 1030,1641,3273,6070,7484,8793,8923,9056,9631,9813 8,0,6,5,2,3,2,8,2,2
36 0 262,466,706,1066,1313,2754,3052,3657,4079,4708,5661,5748,5871,7022,7887,8215,8489,8723,9036,9091 2,8,7,2,7,8,6,3,4,10,6,4,6,7,0,0,5,5,0,8
37 1 611,2663,4236,4286,5043,5654,6123,6231,6349,6531,7125,7199,8344,8613,8893,9138,9382,9480 6,1,4,8,2,3,2,4,9,4,10,2,1,3,1,1,10,1
38 1 653,690,756,1072,1174,2263,3600,4379,4495,4588,5040,5808,6040,7174,7859 0,2,3,2,10,5,1,3,5,7,9,10,9,0,7
39 0 3612,3993,4168,4265,5104,5975,6783,6981,7902,9350,9434 8,5,6,9,2,10,9,0,8,10,7
40 1 5598,8595 4,10
41 1 2260,4381 6,9
42 1 693,1372,1492,1528,1893,2247,3454,3975,4718,4890,4943,5157,6269,7719 9,7,3,7,6,2,6,8,8,8,7,9,8,8
43 0 1172,2842,7261 0,6,3
