

0 1 1216,2493 8,7
1 1 585,812,991,1424,1754,1764,1806,2076,2130,2255,2388,4088,4398,4525,4804,4970 1,6,7,4,9,3,10,5,1,3,6,2,10,8,2,3
2 1 11,548,998,1168,1617,1780,1803,1878,2020,2695,2803,3500,4187,4537,4961 2,10,1,9,4,7,3,5,7,8,4,8,9,1,9
3 0 1176,1191,1335 3,9,9
4 0 141,1166,1582,1649,1672,1739,1866,2785,2810,2876,2877,2915,3149,3434,3454,3936 5,2,5,9,6,9,5,4,1,10,6,8,10,3,3,6
5 1 319,1517,4215,4768 9,1,7,10
6 1 889,1121,1309,1405,1840,2162,2181,2269,2318,3294,3805,4062,4093,4171,4334 9,1,7,5,10,8,4,2,3,3,1,10,4,3,4
7 0 1271,1305,1728,4361,4792 7,9,9,7,5
8 0 760,2080,3515,4525 2,9,8,8
9 1 2714,4045 6,6
10 1 106,127,2331,2484,2777,2909,2936,3140,3398,3528,3835,4398,4912 7,5,6,9,6,1,10,3,3,7,9,10,8
11 1 1270,1284,2743,3438,4565 1,2,5,2,2
12 1 238,455,637,1324,1679,1726,1938,2857,2889,3048,3181,3778,3998,4442,4679 5,5,5,6,10,4,9,0,6,7,1,4,0,6,7
13 1 17,89,123,205,701,822,2376,2808,3187,3279,3938,4441,4878,4954 1,4,2,6,1,6,10,5,10,0,6,1,0,1
14 0 100,140,211,448,1039,2040,3776,3804,3821,3873,3926,4149,4178,4968 4,8,2,0,6,2,7,6,0,9,4,3,3,5
15 1 2950 1
16 1 1415,1623,1718,2401,2626,3278,3529,3588,3771,4028,4402,4864 0,2,5,6,0,2,9,8,3,10,4,8
17 0 688,3198,3219,3613 0,10,3,1
18 1 100,279,336,430,473,565,821,1356,1705,2209,2283,2444,2706,3950,4007,4283,4661,4811,4918 4,2,8,8,8,5,6,0,7,6,2,7,0,1,0,8,10,6,4
19 1 905,1058,1436,1508,2869,2907,3818,3959,4283 10,10,10,10,10,8,6,2,8
20 1 1404,2462,3793,3909,4122,4177,4450,4483,4688,4800,4869 1,6,8,4,9,10,9,3,2,4,10
21 0 348,411,643,690,933,1330,1604,2110,2450,2908,3089,3173,3571,4298,4552,4930 8,5,4,10,8,3,4,3,5,4,4,5,3,8,4,1
22 1 526,553,574,628,1222,1338,1462,1473,1484,1702,2017,2516,2707,3709,3919,3957,4077,4711,4734 7,2,0,0,0,7,6,5,0,3,5,7,10,1,2,5,5,3,8
23 0 419,844,932,1199,1531,1905,3295,3304,4440,4642 6,10,10,1,2,9,1,6,4,10
24 0 498,770,849,1531,1996,1997,2693,2744,3717,3900,4543,4648 3,5,10,2,1,2,6,3,2,1,4,2
25 1 566,2993,3986,4371,4564 6,1,10,3,9
26 0 381,873,1529,1551,1773,3062,3205,3294,3610,3625,3832,3983 1,6,2,4,9,8,9,3,7,9,7,4
27 0 1011,1727,2051,2553,3236,3330,3537,3786,3837 7,5,7,0,0,4,8,6,8
28 1 33,35,167,198,1464,1601,2531,2641,2822,3415,3849,4260,4900 6,0,6,8,6,0,9,1,7,2,1,6,7
29 0 1031,1226,1602,2129,2255,3061,3320,3584,3900,4131,4390 1,9,6,1,3,8,1,4,1,9,4
30 0 801,950,2725,2732,3007,3531,4104,4265,4941,4997 1,3,6,0,9,1,3,5,7,4
31 1 26,881,2786,4719 7,5,2,1
32 0 69,234,357,1434,1482,1530,1542,2287,2381,2727,2910,2937,3091,3648,3737 4,1,9,2,2,5,2,10,7,6,3,2,6,1,3
33 1 63,205,1232,1796,2566,2651,3171,4069,4473,4552,4653,4990 3,6,7,10,6,1,7,9,0,4,9,0
34 0 40,580,1241,1694,2933,2960,2962,3715,3768,3898,4464 5,10,1,5,7,0,3,5,4,4,10
35 0 73,1185,2507,2856,3430,3588,3711,3880,4312,4318,4594,4663 4,0,5,10,4,8,9,1,7,7,2,0
36 1 114,968,1134,2392,2475,2540,2641,2775,3488,4159,4581,4846 2,4,1,2,0,8,1,6,6,7,5,4
37 1 2338,3362 2,8
38 1 90,104,241,253,484,1339,1369,1372,1504,1546,2032,2538,3109,3162,3806,4019,4684 7,4,4,2,2,6,10,7,5,10,7,1,9,9,9,6,6
39 0 258,282,335,795,957,984,1030,1221,1550,1871,2317,2390,2508,2603,2859,3354,3761,4087,4200 4,0,3,6,3,7,6,0,2,4,0,4,7,9,10,5,8,2,8
40 1 692,933,1411,4350 2,8,0,10
41 0 928,1286 1,9
42 1 1278,1519,1849,2102,2245,2516,2828,2951,3002,3098,3219,3306,3600,3889,3993,4309 7,3,0,2,10,7,1,4,9,4,3,1,3,1,7,5
43 0 24,817,1466,1526,1972,2072,2636,3019,3112,3123,3328,4660,4672,4794 8,2,8,3,3,7,2,7,1,0,1,5,1,4
44 0 306,1089,1165,1173,2135,2190,2282,2335,2502,2689,2803,3789,3900,4157,4540,4925 6,4,3,8,7,4,8,4,7,8,4,1,1,10,9,2
45 0 62,3820 3,5
46 1 82,796,3347 1,7,9
47 1 47,221,253,605,785,1363,1376,1691,4673,4729 9,6,2,1,1,4,1,7,5,9
48 1 18,234,299,503,1054,1104,1118,1146,2290,2878,2945,3413,3824,4662,4874 3,1,7,5,7,7,2,3,7,6,8,8,4,3,1
49 0 330,795,1251,1336,1353,1368,1677,1689,2312,2494,2639,2691,3270,3311,3935,4019,4686 9,6,3,3,0,0,9,9,6,8,1,2,7,2,10,6,7
50 0 510,792,1821,2488,2764,2863,2933,3352,3515,4570,4674,4753 2,2,9,2,8,2,7,3,8,5,9,0
51 0 664,705,2016,2197,2217,2706,3258,4409,4700 6,7,2,6,2,0,5,0,2
52 0 535,854,1058,1061,1312,1881,2271,2356,2471,3551,4066,4219,4788 1,2,10,9,8,6,0,4,0,1,9,8,9
53 1 647,713,1011,1919,2459,2995,3026,3315,3858,4207,4470,4954 4,0,7,3,3,3,4,6,10,9,3,1
54 0 252,690,1520,1605,2026,3024,3094,4178,4601,4661,4932 3,10,0,9,6,9,10,3,5,10,2
55 0 2214,2550,4532 1,10,2
56 1 1359,2024,4136,4705 3,2,3,9
57 1 1809,2496,2499,3215,3521,3705,3780,4210,4718,4807 7,10,1,0,1,4,8,7,5,0
58 1 3198 10
59 0 3888 4
60 0 1330,1867,3136 3,2,10
61 1 122,285,523,931,1262,2383,2698,3311,3786 5,7,10,8,0,0,9,2,6
62 1 283,598,681,932,1159,1200,1772,1784,2749,2801,2959,3127,3273,3610,3994,4193,4376,4407,4468 6,4,4,10,7,2,8,3,6,10,4,5,4,7,5,3,4,7,9
63 0 230,365,1703,1979,2113,2869,2975,3455,3467,3570,3925,4542 5,3,0,4,10,10,3,5,7,4,1,9
64 0 569,1083,1714,2812,4533 6,2,8,5,3
65 1 185,818,911,918,970,1554,1793,2278,2722,3664,3691,3945,4099,4709 2,0,0,5,0,7,0,3,8,0,10,6,7,3
66 0 1679,4316 10,1
67 0 0,88,502,746,1113,1262,2865,3805,3896,4264,4408,4677,4833,4923 4,8,5,0,0,0,9,1,10,0,9,0,10,1
68 1 3169 0
69 1 27,578,972,1527,1544,1931,2320,2593,2652,3330,3959,4508,4808,4827,4866,4989 10,9,0,10,3,1,9,3,4,4,2,6,10,8,2,3
70 0 137,692,884,974,1236,1252,2026,2293,3168,3204,3391,3697,3728,3945,4251,4515,4594,4613,4925,4931 7,2,3,6,6,0,6,0,3,7,1,3,3,6,7,4,2,3,2,9
71 1 397,666,1843,2114,2147,2631,3561,3723,3996,4024,4287,4301 10,3,3,3,6,2,7,3,1,10,7,7
72 0 331,580,869,2936,3102,3189,3286,3820,3930 8,10,9,10,1,6,7,5,0
73 1 180,500,869,1389,1830,1952,2307,2420,2644,2706,2740,2843,3403,3419,3600,3939,4294,4381,4556,4715 1,2,9,4,2,1,8,3,4,0,4,5,9,7,3,7,6,7,2,6
74 1 1420,2538,3109,3404,3466,4529,4573 5,1,9,9,0,4,9
75 0 283,583,1501,1952,2079,2239,2479,2758,2763,3408,3416,3903,4090 6,8,9,1,7,3,4,10,6,2,1,6,6
76 0 247,314,1199,1687,2006,2248,2522,2602,2609,2960,3353,4327 3,6,1,8,3,7,6,4,5,0,0,0
77 1 4640 8
78 1 712,1286,1900,2245,4169,4676,4703 6,9,0,10,4,4,0
79 0 4513 10
80 0 573,790,1113,1274,1325,1546,1610,1624,2309,2995,3777,3781,4174,4587 3,1,0,5,2,10,0,8,4,3,5,2,4,2
81 1 220,1884,2300,2915 3,10,6,8
82 1 193,807,951,1077,1769,1845,2149,3013,4325,4336 3,6,7,4,7,1,4,10,3,1
83 0 65,288,440,450,1001,1134,1477,1543,1962,3926,4051,4064 2,10,3,7,5,1,10,4,5,4,10,6
84 1 216,505,1051,1156,1216,1333 0,1,5,8,8,3
85 1 459,977,1824,4656 8,9,5,7
86 0 44,49,70,91,297,305,1023,1235,1270,1529,2137,2229,2257,2309,3015,3244,3826,4338 1,3,6,5,0,7,1,4,1,2,2,0,9,4,9,9,2,6
87 1 72,132,374,672,712,2229,2313,2929,4750 3,1,5,8,6,0,8,7,9
88 1 301,325,352,519,733,879,1187,1802,1966,2281,2453,2580,2763,3396,3508,3759,4040,4246,4508,4999 5,2,2,9,8,4,1,9,5,2,4,8,6,6,1,7,8,10,6,2
89 1 53,96,808,940,1156,1388,1620,1651,1769,2532,2765,2769,3240,3292,3333,3444,3718,4310,4393,4661 1,3,5,7,8,1,1,2,7,3,7,6,6,2,7,10,2,0,8,10
90 0 2288,2942,3302,3305,3428,4179 0,9,3,4,9,0
91 0 704,1085,1236,1521,1989,2416,2848,3067,4725,4821,4906 6,5,6,5,1,10,5,4,8,8,8
92 1 679,2496,3060 4,10,8
93 1 901,1150,1286,1387,1455,1579,1830,1929,2339,2716,4624,4973 10,5,9,7,7,4,2,0,4,3,3,10
94 0 125,315,418,935,1467,1622,1722,2622,2818,4158,4614,4925 9,4,7,7,5,4,8,8,1,7,8,2
95 0 419,692,850,1695,1820,2062,2307,2354,2535,2576,2651,2662,3470,3494,4129,4176,4359,4927,4972 6,2,5,3,2,0,8,2,0,6,1,0,1,9,5,4,10,0,6
96 1 729,1151,2710,2953,3022,3576,3628,3960,4145 6,5,4,8,5,2,7,4,2
97 0 177,470,741,971,1160,1273,1377,2069,2164,2561,3124,3300,3673,4194,4460,4468,4561,4570,4584,4679 7,10,5,7,5,8,0,10,1,2,3,4,6,4,1,9,0,5,3,7
98 1 303,341,2456,2459,4139,4212,4340,4350,4701 5,5,9,3,1,4,4,10,2
99 1 1257,1626,1950,2259,3952,4069,4638 8,5,6,9,0,9,1
100 1 3765,4111,4273,4586,4773 1,7,1,8,8
101 1 351,388,1505,1673,2812,2981,3158,3557,3738,4860,4907 1,4,1,5,5,8,4,3,7,8,5
102 0 220,246,455,677,815,1358,1384,1655,1761,1889,2293,3267,3720,3897,4128,4222,4801 3,5,5,7,0,9,1,7,6,2,0,1,9,9,4,8,7
103 1 68,107,468,692,706,910,1282,1330,1436,1574,1682,1749,2093,2310,3228,3507,4001,4163,4450,4623 9,4,1,2,5,6,3,3,10,2,3,10,1,6,8,9,5,6,9,4
104 1 2012,3682,3730,3785,4036 3,6,9,3,6
105 0 1797,4290 6,10
106 0 241,1148,2300,2354,2446,3273,3368,4089,4397,4828,4925,4931 4,2,6,2,5,4,8,10,10,3,2,9
107 1 114,214,390,1541,1724,2684,2751,3512 2,6,9,4,7,4,3,1
108 1 2517,2955,2967,3106,3993 1,5,7,2,7
109 1 202,215,317,521,728,830,1058,1232,1531,1751,2038,2871,4215,4816 10,8,2,5,0,6,10,7,2,1,9,9,7,1
110 1 740,2027,2071,3029,3395,3452,4473 1,2,9,6,2,4,0
111 1 1863,2369,2697,2727,3012,3191,3202,4108,4178,4319,4648 6,2,3,6,3,7,7,1,3,1,2
112 0 310,1082,1569,1794,2039,2149,2221,2758,2855,3475,3489,3593,3618,3774,4009,4195,4234,4425,4738,4974 2,10,4,6,3,4,3,10,3,3,7,4,9,8,6,5,7,0,8,7
113 1 189,898,1286,1474,2199,2596,3032,3068,3581,4617 7,2,9,1,0,5,1,6,8,6
114 0 507,1509,1645,1741,2464,3085,3662,3860 4,8,3,8,0,4,8,1
115 1 44,360,1087,1145,1652,1990,2197,2924,3577,3765,4043,4179,4573,4761,4910 1,0,4,0,8,4,6,10,4,1,5,0,9,9,6
116 0 334,742,768,1346,1359,1396,2098,2099,2131,2135,2199,2388,2573,3559,3579,3700,4350 6,4,7,1,3,4,8,7,5,7,0,6,10,1,1,2,10
117 0 214,282,321,598,725,1262,1382,1502,2229,2812,3126,3202,3355,3456,3786,4139,4283,4744 6,0,5,4,8,0,10,9,0,5,1,7,9,7,6,1,8,5
118 1 383,1585,1901,2129,2371,2571,3025,4280,4570,4809 1,9,6,1,6,8,10,2,5,4
119 0 817,4022,4200,4309 2,0,8,5
120 0 1282,1343,3273,3379,3575,4094,4676,4683 3,6,4,9,5,9,4,8
121 0 91,877,1522,1799 5,0,1,0
122 1 163,1323,1838,1951,2441,2493,2923,3656,3745,4237,4327,4592,4736 7,3,7,10,5,7,4,5,10,1,0,1,10
123 0 199,320,390,597,684,801,1193,1874,2260,2552,2852,3034,3706,4025,4375,4532 9,2,9,3,6,1,3,10,8,3,4,0,2,8,4,2
124 0 1326 7
125 1 1,705,742,778,847,975,1728,2058,2343,2395,2552,2607,3094,3131,3507,3666,3766,3908,4694,4873 8,7,4,1,2,7,9,5,7,3,3,9,10,6,9,7,10,9,3,9
126 1 171,369,485,1123,1228,2341,2632,2895,3297,3460,4388,4832 5,4,7,5,0,4,6,7,5,0,2,6
127 0 50,320,434,908,1066,1191,1459,1495,1539,1786,1793,2295,2316,2534,3084,3443,3446,4411,4713 8,2,6,6,0,9,1,5,10,4,0,0,4,2,5,2,5,7,4
128 1 26,749,834,2104,2153,2555,3050,3092,3243,3285,3301,3574,3668,4562,4721 7,4,6,8,2,1,4,3,2,7,7,8,10,2,9
129 1 2030,4765 1,2
130 1 136,141,466,743,1161,1183,1766,1916,2397,2680,2686,2703,2975,3470,3605,3673,3775,4224,4655,4956 6,5,7,9,7,0,8,3,6,2,7,2,3,1,1,6,1,0,7,2
131 1 266,724,773,807,863,1141,1438,1465,2399,2448,2938,3672,4029,4158,4230,4992 0,1,0,6,1,3,8,8,6,2,3,0,8,7,8,7
132 1 41,450,514,1013,1311,1347,1567,1829,2114,2153,2668,2784,3087,3090,3450,4466 10,7,4,1,10,1,1,2,3,2,1,7,3,10,4,5
133 1 211,489,509,841,870,1190,1231,1289,1443,1537,1599,2107,2661,2707,2752,3259,3826,3862,4479,4947 2,8,10,0,7,4,7,0,9,2,7,10,9,10,7,5,2,1,8,5
134 1 360,683,992,1207,1374,1832,2014,2606,2651,2685,2757,2802,3642,3947,4474,4601,4805,4915,4993 0,3,6,7,0,1,2,3,1,9,6,5,9,2,0,5,2,6,1
135 0 427,1288,2311,2725,3693,3944 6,5,3,6,4,8
136 0 200,682,787,890,1520,1550,2172,2348,2517,2624,3055,3286,3596,3717,3980,4037 8,3,0,1,0,2,2,8,1,4,8,7,0,2,4,7
137 1 279,764,1042,1179,1198,1838,2171,2178,2554,2978,3440,4061,4325,4696,4872 2,10,1,4,7,7,1,6,6,4,10,10,3,6,10
138 1 55,228,763,902,1358,1529,1536,1750,1937,2072,2355,2509,3059,3188,3877,4062,4077,4921 4,4,10,3,9,2,9,7,6,7,4,3,2,7,1,10,5,2
139 0 1375,2712,2885,3586,3866,3882,3911 3,7,0,6,9,3,10
140 1 785,1048,1918,2048,2117,2151,2361,2489,2573,2884,3088,3267,3401,4769 1,7,5,1,3,9,0,4,10,3,1,1,6,9
141 1 253,260,289,748,833,887,1202,1278,1847,2198,2366,2472,2546,2595,3337,3768,3800,3834,4729 2,9,6,3,6,7,10,7,8,0,4,8,10,4,6,4,2,2,9
142 0 275,1213,2958,4941 10,2,5,7
143 1 882,1041,1131,1187,1511,2026,2828,2899,2970,3756,3870,4402,4592,4840 3,3,1,1,6,6,1,3,10,7,5,4,1,6
144 1 561,915,1064,1292,1610,1657,2105,3099,3989,4637 6,0,10,5,0,6,3,5,9,2
145 1 1723,3516,4250 8,4,0
146 0 257,1100,1220,1260,1558,1819,2088,2253,3562,3702,3818,4563,4607,4795 5,6,4,5,6,10,6,6,1,3,6,10,4,2
147 0 87,107,335,770,951,964,1237,2172,2595,2599,3072,3498,3576,4433,4795 10,4,3,5,7,3,4,2,4,7,1,4,2,5,2
148 1 984,2166,2803,3841,4057,4535 7,6,4,10,5,2
149 1 536,607,1218,1329,2148,2991,3146,3474,3725,3735,4002,4763 1,9,7,7,8,3,1,1,1,1,9,8
150 1 143,297,506,1274,1534,2164,2472,2614,2743,2829,2882,2895,3052,3848,4127,4133,4214,4374,4453,4936 10,0,0,5,1,1,8,2,5,10,2,7,4,2,2,10,0,8,2,2
151 1 2757,4560 6,2
152 1 83,303,390,610,640,1155,1550,1794,2661,2907,3165,3258,3538,3920,4013,4060,4392,4916,4960 9,5,9,8,3,5,2,6,9,8,5,5,2,6,1,2,6,7,0
153 0 143,148,564,736,1392,1521,1678,2585,2674,2801,3290,3334,4485,4506,4921,4978 10,7,2,9,4,5,6,6,8,10,0,1,10,9,2,5
154 0 987,1155,2609 0,5,5
155 0 98,451,604,1147,1502,1801,2027,2632,2740,2827,2999,3197,3392,3764,4259,4445,4617,4963 10,7,3,5,9,10,2,6,4,6,5,0,10,6,1,8,6,5
156 0 726,2492,4495 1,4,3
157 0 1178,1359,2474,3030,3868,4069,4823,4915,4932 6,3,2,8,0,9,0,6,2
158 1 303,770,1754,2887,3063,4196,4677 5,5,9,10,0,9,0
159 0 65,67,219,410,894,1392,1662,1745,1833,2059,2067,2681,3796,4116,4252,4363,4546 2,0,6,1,8,4,3,1,5,9,2,4,5,7,0,1,6
160 1 60,157,644,710,1315,1580,2153,3330,3406,3466,3543,4138,4188,4740 5,2,1,4,3,0,2,4,9,0,3,4,0,7
161 1 342,764,1036,1391,1740,2873,3739,3844,4038,4620,4932,4976 9,10,7,2,9,0,0,9,8,0,2,8
162 1 635,1356,1372,1454,1551,1844,2380,3400,3458,3505,4006,4382,4852 6,0,7,1,4,6,5,5,8,5,7,5,5
163 0 643,779,1442,1773,1826,2322,2712,2928,3910,3939,4148,4589 4,1,3,9,4,1,7,4,1,7,0,7
164 1 0,502,591,989,1454,1865,1934,2645,2773,3462,3771,3808,4320,4565,4640,4861 4,5,7,6,1,2,2,9,4,9,3,8,7,2,8,5
165 1 1438,1442,3144,3349,3646,4323,4611 8,3,7,10,6,8,3
166 0 315,1149,1419,1452,1492,2463,2769,3076,3266,3321,3911,3968,4170 4,8,4,3,4,3,6,7,5,5,10,8,8
167 1 521,575,1006,1080,1105,1276,1845,2416,2624,2742,3193,3202,3497,4178,4565,4827,4940 5,8,2,1,10,7,1,10,4,6,2,7,2,3,2,8,6
168 0 79,177,471,765,893,1180,1676,1902,2147,2295,2615,2808,2811,3004,3747,3765,4133,4200,4760 9,7,4,3,8,4,5,10,6,0,0,5,0,10,0,1,10,8,2
169 0 11,1105,1526,2589,2865,3015,3069,3345,3547,3596,3818,3914,4169,4475,4865 2,10,3,9,9,9,9,3,2,0,6,0,4,9,5
170 1 770,840,3824,4749,4949 5,3,4,4,6
171 1 1034,1442,2253,2370,3006,3619,4265,4610,4641 9,3,6,0,1,7,5,10,3
172 0 3344 0
173 0 350,789,856,2184,3242,3311,3866,4206,4787 9,5,0,9,5,2,9,9,2
174 0 317 2
175 0 754,807,1355,2107,2953,3388,3633,3727,3998,4003,4994 6,6,2,10,8,1,8,2,0,5,2
176 0 437,1127,2624,2781,3647,4175,4428,4529,4769,4866 9,9,4,9,0,10,6,4,9,2
177 1 292,900,1035,1044,1955,2634,2651,2682,2836,3423,3452,3792,3898,4785,4949 1,1,0,6,1,1,1,8,10,2,4,2,4,5,6
178 0 1368,2300,2330,2696,3301,3321,3739,4703 0,6,0,0,7,5,0,0
179 1 588,770,1028,1645,1758,1807,1994,2571,2589,3178,3433,3582,3642,3739,4008,4504,4684,4942 8,5,3,3,7,6,1,8,9,6,1,9,9,0,4,8,6,0
