Iteration Count: 2
0 Wins for: Min
1 Wins for: Min
2 Wins for: Min
3 Wins for: Min
4 Wins for: Min
5 Wins for: Min
6 Wins for: Min
7 Wins for: Min
8 Wins for: Min
9 Wins for: Min
10 Wins for: Min
11 Wins for: Min
12 Wins for: Min
13 Wins for: Min
14 Wins for: Min
15 Wins for: Min
16 Wins for: Min
17 Wins for: Min
18 Wins for: Min
19 Wins for: Min
20 Wins for: Min
21 Wins for: Min
22 Wins for: Min
23 Wins for: Min
24 Wins for: Min
25 Wins for: Min
26 Wins for: Min
27 Wins for: Min
28 Wins for: Min
29 Wins for: Min
30 Wins for: Min
31 Wins for: Min
32 Wins for: Min
33 Wins for: Min
34 Wins for: Min
35 Wins for: Min
36 Wins for: Min
37 Wins for: Min
38 Wins for: Min
39 Wins for: Min
40 Wins for: Min
41 Wins for: Min
42 Wins for: Min
43 Wins for: Min
44 Wins for: Min
45 Wins for: Min
46 Wins for: Min
47 Wins for: Min
48 Wins for: Min
49 Wins for: Min
50 Wins for: Min
51 Wins for: Min
52 Wins for: Min
53 Wins for: Min
54 Wins for: Min
55 Wins for: Min
56 Wins for: Min
57 Wins for: Min
58 Wins for: Min
59 Wins for: Min
60 Wins for: Min
61 Wins for: Min
62 Wins for: Min
63 Wins for: Min
64 Wins for: Min
65 Wins for: Min
66 Wins for: Min
67 Wins for: Min
68 Wins for: Min
69 Wins for: Min
70 Wins for: Min
71 Wins for: Min
72 Wins for: Min
73 Wins for: Min
74 Wins for: Min
75 Wins for: Min
76 Wins for: Min
77 Wins for: Min
78 Wins for: Min
79 Wins for: Min
80 Wins for: Min
81 Wins for: Min
82 Wins for: Min
83 Wins for: Min
84 Wins for: Min
85 Wins for: Min
86 Wins for: Min
87 Wins for: Min
88 Wins for: Min
89 Wins for: Min
90 Wins for: Min
91 Wins for: Min
92 Wins for: Min
93 Wins for: Min
94 Wins for: Min
95 Wins for: Min
96 Wins for: Min
97 Wins for: Min
98 Wins for: Min
99 Wins for: Min
